"","germplasmName","DON","Heading","Height","Lodging","Maturity","TestWeight","Yield","Weight..lb.","notes.x","notes.y"
"141","IL2022-13468",1.71,131.98,35.77,2.2,165.99,58.72,91.04,7.01,"obs:Normal",""
"142","IL2022-13476",1.76,131.26,38,2.78,166.62,59,93.86,6.37,"obs:Normal",""
"143","IL2022-13512",2.05,132.05,37.39,2.07,166.52,58.91,88.68,5.99,"hd:N, obs:Fair",NA
"144","IL2022-13524",1.46,129.88,36.09,3.58,165.74,58.73,83.91,6.83,"hd:N, obs:Normal",NA
"145","IL2022-13548",1.94,129.89,34.92,1.57,165.98,56.87,75.08,6.72,"obs:Normal",""
"146","IL2022-13554",1.43,127.19,36.2,2.16,164.31,57.01,77.03,6.71,"hd:E, obs:Good",""
"147","IL2022-13558",1.57,129.71,37.36,2.39,165.31,57.21,81.54,6.53,"hd:E, segregating, obs:Normal",""
"148","IL2022-13572",1.47,130.52,36.48,2.18,167.67,59.55,82.59,7.63,"hd:N, segregating, obs:Fair",NA
"149","IL2022-13604",2.23,131.46,35.73,2.23,168.14,57.41,88.05,7.2,"hd:N, obs:Normal",""
"150","IL2022-13608",2.42,132.36,37.29,2.41,166.78,59.48,88.02,6.87,"hd:L, obs:Fair",NA
"151","IL2022-13613",1.75,131.79,36.09,2.08,167.47,58.1,82.89,6.69,"obs:Normal",NA
"152","IL2022-13732",1.41,134.31,38.62,2.57,168.02,57.27,89.17,7.91,"hd:L, obs:Fair",""
"153","IL2022-13738",2.38,131.92,37.36,1.42,168.01,58.78,86.16,6.92,"obs:Fair",NA
"154","IL2022-13739",2.12,133.01,36.24,2.74,168.4,57.47,79.82,6.16,"obs:Normal",""
"155","IL2022-13746",2.3,130.32,36.39,2.51,168.68,58.03,80.2,7.05,"hd:E, obs:Normal",NA
"156","IL2022-13751",2.03,133.59,33.78,1.24,168.95,59.16,80.04,7.1,"hd:N, obs:Normal",NA
"157","IL2022-13756",2.01,132.78,34.28,2.31,167.9,57.99,80.54,6.7,"hd:N, obs:Fair",""
"158","IL2022-13771",2.02,133.16,34.76,1.7,166.89,56.73,83.1,7.51,"hd:N, obs:Good",NA
"159","IL2022-13776",2.48,132.5,37.73,1.99,169.5,57.76,85.54,6.6,"hd:N, bearded, obs:Normal","bearded, thick"
"160","IL2022-13824",2.39,133.12,37.2,1.67,168.92,59.01,90.1,6.69,"hd:N, segregating , obs:Normal",""
"161","IL2022-13835",1.41,131.61,37.73,1.67,166.73,57.36,85.92,8.12,"hd:N, obs:Fair",NA
"162","IL2022-13869",1.56,130.92,39.86,2.72,166.27,58.9,90.32,7.41,"hd:N, obs:Poor",""
"163","IL2022-13912",1.01,131.85,38.3,2.07,166.8,58.57,84.89,7.76,"hd:E, obs:Fair",""
"164","IL2022-13915",1.65,131.44,37.12,2.11,166.61,58.7,82,6.87,"obs:Good",""
"165","IL2022-13939",0.84,131.5,36.24,2.33,167.08,59.94,82.22,7.25,"hd:N, obs:Fair",""
"166","IL2022-13959",0.97,131.47,37.99,1.71,167.49,59.49,81.71,7.02,"hd:E, obs:Good",""
"167","IL2022-14012",1.14,129.28,37.96,2.46,164.62,58.08,81.68,5.96,"hd:E, obs:Normal",""
"168","IL2022-14110",1.56,133,37.87,2.12,167.11,59.93,80.38,8.6,"obs:Normal","very dark green, npt"
"169","IL2022-14119",1.65,130.4,35.71,1.5,166.29,59.37,79.81,6.29,"hd:E, obs:Normal",""
"170","IL2022-14137",1.87,131.8,37.36,1.33,166.74,58.7,85.16,6.97,"hd:E, obs:Normal",""
"171","IL2022-14172",1.41,132.68,36.77,1.97,167.48,58.87,83.94,6.45,"obs:Normal",""
"172","IL2022-14223",1.73,132.64,35.09,1.52,167.12,58.81,83.18,7.19,"hd:E, obs:Normal","npt"
"173","IL2022-14232",2.26,131.48,39.01,2.29,167.71,58.63,76.52,5.41,"hd:N, obs:Poor",""
"174","IL2022-14264",2.26,131,36.77,3.1,166.27,61.49,82.72,7.37,"hd:N, obs:Normal",""
"175","IL2022-14268",1.54,131.07,35.3,2.82,167.16,58.99,80.05,7.91,"obs:Normal",""
"176","IL2022-14271",2.23,130.41,35.82,3.24,167.39,59.97,75.22,5.31,"obs:Normal",NA
"177","IL2022-14306",1.68,133.26,39.09,2.73,166.94,56.29,80.8,6.35,"obs:Fair",NA
"178","IL2022-14315",1.59,132.62,38.52,2.85,165.31,56.98,73.44,6.31,"hd:N, obs:Poor",NA
"179","IL2022-14320",1.73,130.12,34.75,1.73,165.52,58.45,83.69,7.07,"hd:E, obs:Good",""
"180","IL2022-14347",1.8,130.75,35.88,2,166.11,59.54,77.61,7.31,"hd:E, obs:Good",NA
"181","IL2022-14361",0.94,128.99,37.85,2.02,168.18,57.55,82.36,6.99,"hd:E, obs:Good",NA
"182","IL2022-14401",1.99,129.42,38.41,1.83,164.6,57.05,86.1,6.74,"hd:E, obs:Normal",""
"183","IL2022-14421",1.95,130.87,36.03,1.91,167.17,58.67,95.03,7.77,"obs:Normal",""
"184","IL2022-14575",0.86,130.52,39.82,3.63,166.68,58.04,83.61,7.34,"hd:E, obs:Normal","seg bearded, tall"
"185","IL2022-1464",0.59,131.1,38.48,1.17,166.08,59.28,89.85,8.85,"hd:N, obs:Poor",NA
