germplasmName,observationUnitName,notes
IL2022-3736,SI_Urb_23-1156,"hd:E, obs:Fair"
IL2022-22115,SI_Urb_23-1157,"hd:N, obs:Fair"
IL2022-6142,SI_Urb_23-1158,"hd:E, obs:Good"
IL2022-18751,SI_Urb_23-1159,"hd:N, obs:Normal"
IL2022-17066,SI_Urb_23-116,obs:Normal
IL2022-6973,SI_Urb_23-1160,"hd:E, obs:Fair"
IL2022-22556,SI_Urb_23-1161,"hd:L, late, obs:Good"
IL2022-13361,SI_Urb_23-1162,"hd:E, obs:Poor"
IL2022-19457,SI_Urb_23-1163,"hd:N, obs:Fair"
IL2022-6832,SI_Urb_23-1164,"hd:N, obs:Normal"
IL2022-15028,SI_Urb_23-1165,"hd:N, obs:Normal"
IL2022-12926,SI_Urb_23-1166,"hd:E, obs:Good"
IL2022-7266,SI_Urb_23-1167,"hd:N, obs:Fair"
IL2022-7876,SI_Urb_23-1168,"hd:N, obs:Poor"
IL2022-8016,SI_Urb_23-1169,"hd:L, obs:Fair"
IL2022-560,SI_Urb_23-117,"hd:E, obs:Fair"
IL2022-14912,SI_Urb_23-1170,"hd:N, obs:Normal"
IL2022-2157,SI_Urb_23-1171,"hd:E, obs:Poor"
IL2022-4969,SI_Urb_23-1172,"hd:L, late, obs:Good"
IL2022-21528,SI_Urb_23-1173,"hd:N, obs:Poor"
IL2022-8120,SI_Urb_23-1174,"hd:N, obs:Normal"
IL2022-14871,SI_Urb_23-1175,"hd:E, obs:Fair"
IL2022-20874,SI_Urb_23-1176,"hd:N, obs:Good"
IL2022-720,SI_Urb_23-1177,"hd:N, obs:Fair"
IL2022-17009,SI_Urb_23-1178,"hd:N, obs:Fair"
IL2022-12702,SI_Urb_23-1179,"hd:E, obs:Normal"
IL2022-13558,SI_Urb_23-118,"hd:E, segregating, obs:Normal"
IL2022F4S-5503,SI_Urb_23-1180,"hd:N, obs:Normal"
IL2022F4S-13504,SI_Urb_23-1181,"hd:N, obs:Poor"
IL2022F4S-21006,SI_Urb_23-1182,"hd:N, obs:Good"
IL2022F4S-4502,SI_Urb_23-1183,"hd:N, obs:Good"
IL2022F4S-14002,SI_Urb_23-1184,"hd:L, obs:Good"
IL2022F4S-16501,SI_Urb_23-1185,"hd:E, obs:Fair"
IL2022F4S-15003,SI_Urb_23-1186,"hd:N, obs:Good"
IL2022F4S-17603,SI_Urb_23-1187,"hd:N, obs:Poor"
IL2022F4S-14103,SI_Urb_23-1188,"hd:N, obs:Normal"
IL2022F4S-6805,SI_Urb_23-1189,"hd:L, obs:Fair"
IL2022-10178,SI_Urb_23-119,obs:Good
IL2022F4S-14405,SI_Urb_23-1190,"hd:L, obs:Normal"
IL2022F4S-13502,SI_Urb_23-1191,"hd:L, obs:Normal"
IL2022F4S-6302,SI_Urb_23-1192,hd:L
IL2022F4S-4403,SI_Urb_23-1193,"hd:N, obs:Fair"
IL2022F4S-13805,SI_Urb_23-1194,"hd:N, obs:Good"
IL2022F4S-8503,SI_Urb_23-1195,"hd:E, obs:Fair"
IL2022F4S-19901,SI_Urb_23-1196,"hd:E, obs:Poor"
IL2022F4S-5603,SI_Urb_23-1197,"hd:E, short, obs:Normal"
IL2022F4S-15709,SI_Urb_23-1198,"hd:N, obs:Normal"
IL2022F4S-20902,SI_Urb_23-1199,"hd:N, obs:Normal"
IL2022-11205,SI_Urb_23-12,obs:Normal
IL2022-15776,SI_Urb_23-120,obs:Normal
IL2022F4S-15105,SI_Urb_23-1200,"hd:N, obs:Poor"
IL2022F4S-17903,SI_Urb_23-1201,"hd:N, obs:Fair"
IL2022F4S-11301,SI_Urb_23-1202,"hd:N, obs:Good"
IL2022F4S-10704,SI_Urb_23-1203,"hd:N, obs:Normal"
IL2022F4S-9502,SI_Urb_23-1204,"hd:N, obs:Fair"
IL2022F4S-19903,SI_Urb_23-1205,"hd:N, obs:Fair"
IL2022F4S-9303,SI_Urb_23-1206,"hd:N, obs:Fair"
IL2022F4S-13803,SI_Urb_23-1207,"hd:E, obs:Fair"
IL2022F4S-14905,SI_Urb_23-1208,"hd:E, obs:Fair"
IL2022F4S-13101,SI_Urb_23-1209,"hd:N, obs:Normal"
IL2022-520,SI_Urb_23-121,"hd:E, segregating, obs:Normal"
IL2022F4S-14809,SI_Urb_23-1210,"hd:E, obs:Normal"
IL2022F4S-501,SI_Urb_23-1211,"hd:N, obs:Fair"
IL2022F4S-15903,SI_Urb_23-1212,"hd:E, obs:Fair"
IL2022F4S-14001,SI_Urb_23-1213,"hd:N, obs:Normal"
IL2022F4S-14101,SI_Urb_23-1214,"hd:L, late, obs:Normal"
IL2022F4S-1404,SI_Urb_23-1215,"hd:E, obs:Fair"
IL2022F4S-10702,SI_Urb_23-1216,"hd:N, obs:Normal"
IL2022F4S-13105,SI_Urb_23-1217,"hd:N, obs:Fair"
IL2022F4S-15503,SI_Urb_23-1218,"hd:N, obs:Normal"
IL2022F3S-23701,SI_Urb_23-1219,"hd:N, obs:Normal"
IL2022-7709,SI_Urb_23-122,obs:Fair
IL2022F4S-15704,SI_Urb_23-1220,"hd:N, obs:Normal"
IL2022F4S-21201,SI_Urb_23-1221,"hd:N, bearded , obs:Good"
IL2022-11462,SI_Urb_23-1222,"hd:E, obs:Fair"
IL2022-3117,SI_Urb_23-1223,"hd:N, obs:Fair"
IL2022-13869,SI_Urb_23-1224,"hd:N, obs:Poor"
IL2022-20155,SI_Urb_23-1225,"hd:N, obs:Fair"
IL2022-345,SI_Urb_23-1226,"hd:E, obs:Normal"
IL2022-9929,SI_Urb_23-1227,"hd:E, obs:Good"
IL2022-13512,SI_Urb_23-1228,"hd:N, obs:Fair"
IL2022-10841,SI_Urb_23-1229,"hd:N, obs:Normal"
IL2022-16348,SI_Urb_23-123,obs:Fair
IL2022-17929,SI_Urb_23-1230,"hd:E, obs:Normal"
IL2022-523,SI_Urb_23-1231,"hd:E, obs:Good"
IL2022-17137,SI_Urb_23-1232,"hd:N, obs:Normal"
IL2022-18101,SI_Urb_23-1233,"hd:N, obs:Normal"
IL2022-20076,SI_Urb_23-1234,"hd:N, obs:Fair"
IL2022-10821,SI_Urb_23-1235,"hd:N, obs:Poor"
IL2022-5035,SI_Urb_23-1236,"hd:E, segregating, obs:Fair"
IL2022-1816,SI_Urb_23-1237,"hd:E, obs:Fair"
IL2022-15151,SI_Urb_23-1238,"hd:N, obs:Normal"
IL2022-23259,SI_Urb_23-1239,"hd:L, late, obs:Normal"
IL2022-12933,SI_Urb_23-124,obs:Good
IL2022-16454,SI_Urb_23-1240,"hd:N, obs:Poor"
IL2022-20264,SI_Urb_23-1241,"hd:N, obs:Fair"
IL2022-5522,SI_Urb_23-1242,"hd:N, obs:Normal"
IL2022-3822,SI_Urb_23-1243,"hd:E, obs:Normal"
IL2022-10376,SI_Urb_23-1244,"hd:N, obs:Normal"
IL2022-11621,SI_Urb_23-1245,"hd:E, obs:Normal"
IL2022-5203,SI_Urb_23-1246,"hd:N, obs:Fair"
IL2022-7624,SI_Urb_23-1247,"hd:E, obs:Fair"
IL2022-19278,SI_Urb_23-1248,"hd:E, obs:Fair"
IL2022-5542,SI_Urb_23-1249,"hd:E, early, npt, obs:Excellent "
IL2022F4S-14104,SI_Urb_23-125,obs:Fair
IL2022-5528,SI_Urb_23-1250,"hd:E, segregating, obs:Fair"
IL2022-19036,SI_Urb_23-1251,"hd:N, obs:Fair"
IL2022-22930,SI_Urb_23-1252,"hd:N, obs:Good"
IL2022-3177,SI_Urb_23-1253,"hd:N, obs:Normal"
IL2022-5101,SI_Urb_23-1254,"hd:L, obs:Fair"
IL2022-10318,SI_Urb_23-1255,"hd:L, obs:Good"
IL2022-14223,SI_Urb_23-1256,"hd:E, obs:Normal"
IL2022-16411,SI_Urb_23-1257,"hd:N, obs:Normal"
IL2022-21754,SI_Urb_23-1258,"hd:N, obs:Normal"
IL2022-13572,SI_Urb_23-1259,"hd:N, segregating, obs:Fair"
IL2022F3S-22401,SI_Urb_23-126,"hd:L, obs:Good"
