,germplasmName,Weight..lb.,observationUnitName,notes,Decision,purdy pedigree
929,IL2022F3S-24204,4.25,SI_Urb_23-509,obs:Normal,1,US16-IL-065-030/16-11226
930,IL2022F3S-24302,5.95,SI_Urb_23-832,"hd:N, late, obs:Normal",1,US16-IL-065-109/17-23868
931,IL2022F3S-24402,5.06,SI_Urb_23-548,obs:Normal,1,07-20728/12-26004//17-12172
932,IL2022F3S-24502,5.54,SI_Urb_23-1496,"hd:N, obs:Normal",1,F3_Fertile
933,IL2022F3S-24503,4.1,SI_Urb_23-534,obs:Good,1,F3_Fertile
934,IL2022F4S-10002,4.62,SI_Urb_23-1112,"hd:E, obs:Fair",1,17-7976/16-11226
935,IL2022F4S-10003,4.02,SI_Urb_23-33,"hd:L, obs:Normal",1,17-7976/16-11226
936,IL2022F4S-10004,5.21,SI_Urb_23-1295,"hd:N, obs:Normal",1,17-7976/16-11226
937,IL2022F4S-10005,4.52,SI_Urb_23-710,obs:Normal,1,17-7976/16-11226
938,IL2022F4S-1002,5.17,SI_Urb_23-343,obs:Fair,1,15-2639/15-4957
939,IL2022F4S-10101,4.87,SI_Urb_23-732,"hd:E, obs:Normal",1,17-8620/12-26004
940,IL2022F4S-10102,6.34,SI_Urb_23-899,"hd:N, obs:Excellent ",1,17-8620/12-26004
941,IL2022F4S-10103,4.4,SI_Urb_23-133,obs:Normal,1,17-8620/12-26004
942,IL2022F4S-10104,5.62,SI_Urb_23-323,"hd:E, obs:Good",1,17-8620/12-26004
943,IL2022F4S-10105,5.69,SI_Urb_23-45,"hd:N, obs:Good",1,17-8620/12-26004
944,IL2022F4S-10201,3.69,SI_Urb_23-157,obs:Good,1,17-8620/15-4957
945,IL2022F4S-10202,3.9,SI_Urb_23-439,"hd:E, obs:Normal",1,17-8620/15-4957
946,IL2022F4S-10203,4.52,SI_Urb_23-513,obs:Good,1,17-8620/15-4957
947,IL2022F4S-10204,7.11,SI_Urb_23-1472,"hd:N, obs:Normal",1,17-8620/15-4957
948,IL2022F4S-10205,4.4,SI_Urb_23-158,obs:Fair,1,17-8620/15-4957
949,IL2022F4S-10301,4.97,SI_Urb_23-50,"hd:N, obs:Good",1,17-8620/16-28802
950,IL2022F4S-10304,4.73,SI_Urb_23-1314,"hd:N, obs:Normal",1,17-8620/16-28802
