germplasmName,observationUnitName,notes
IL2022-17329,YT_Urb_23-1134,
IL2022-19141,YT_Urb_23-1135,
IL2022-9352,YT_Urb_23-1136,
IL2021-38672,YT_Urb_23-1137,
IL2021-14513,YT_Urb_23-1138,
IL2022-20420,YT_Urb_23-1139,
IL2021-22514,YT_Urb_23-114,mixed
IL2021-25334,YT_Urb_23-1140,
IL2021-44007,YT_Urb_23-1141,
IL2021-40869,YT_Urb_23-1142,
IL2021-19549,YT_Urb_23-1143,
IL16LCSDH-06-T-2661-39,YT_Urb_23-1144,thick
IL2022-20314,YT_Urb_23-1145,
2020-2318,YT_Urb_23-1146,
IL2021-13577,YT_Urb_23-1147,
19-19205,YT_Urb_23-1148,
IL2022-14172,YT_Urb_23-1149,
IL2022-7741,YT_Urb_23-115,
IL2021-33861,YT_Urb_23-1150,
IL2021-19718,YT_Urb_23-1151,
IL2022-2156,YT_Urb_23-1152,thick
IL2022-1312,YT_Urb_23-1153,
IL2022-17664,YT_Urb_23-1154,
IL2021-39857,YT_Urb_23-1155,
IL2022-7065,YT_Urb_23-1156,
IL2021-46411,YT_Urb_23-1157,
IL16LCSDH-09-T-2664-23,YT_Urb_23-1158,
IL2021-13321,YT_Urb_23-1159,
IL2021-42522,YT_Urb_23-116,seg
IL2021-16612,YT_Urb_23-1160,
2020-10435,YT_Urb_23-1161,
IL2021-15245,YT_Urb_23-1162,
IL2021-3902,YT_Urb_23-1163,has triticale
IL2021-38976,YT_Urb_23-1164,thick
IL2022-22012,YT_Urb_23-1165,
2020-2032,YT_Urb_23-1166,
IL2022-22150,YT_Urb_23-1167,
IL2022-9116,YT_Urb_23-1168,"thick, bearded, npt, clean"
IL2022-13869,YT_Urb_23-1169,
12-26004,YT_Urb_23-117,
IL2021-22514,YT_Urb_23-1170,
19-15017,YT_Urb_23-1171,
IL2022-345,YT_Urb_23-1172,
IL2021-15219,YT_Urb_23-1173,
25R76,YT_Urb_23-1174,
IL2022-12067,YT_Urb_23-1175,
IL16LCSDH-09-T-2664-16,YT_Urb_23-1176,
IL16LCSDH-04-T-2659-225,YT_Urb_23-1177,
IL2022-19539,YT_Urb_23-1178,
IL2022-5765,YT_Urb_23-1179,
19-17662,YT_Urb_23-118,
2020-16118,YT_Urb_23-1180,
IL2021-14676,YT_Urb_23-1181,
IL2022-15733,YT_Urb_23-1182,
19-18837,YT_Urb_23-1183,
IL2022-4969,YT_Urb_23-1184,late
IL2021-43926,YT_Urb_23-1185,
IL2022-10131,YT_Urb_23-1186,
IL2022-9537,YT_Urb_23-1187,
IL2021-36630,YT_Urb_23-1188,
IL2022-21618,YT_Urb_23-1189,
IL2022-19921,YT_Urb_23-119,mixed
2020-40034,YT_Urb_23-1190,
IL2021-44005,YT_Urb_23-1191,
IL2021-21665,YT_Urb_23-1192,
2020-16145,YT_Urb_23-1193,
IL2021-41355,YT_Urb_23-1194,
IL2022-18049,YT_Urb_23-1195,
IL16LCSDH-06-T-2661-212,YT_Urb_23-1196,
IL2021-43938,YT_Urb_23-1197,
IL2022-5060,YT_Urb_23-1198,
2020-13902,YT_Urb_23-1199,
IL16LCSDH-09-T-2664-30,YT_Urb_23-12,
IL2021-26632,YT_Urb_23-120,
IL2022-7713,YT_Urb_23-1200,
IL2022-13554,YT_Urb_23-1201,
IL16LCSDH-09-T-2664-24,YT_Urb_23-1202,
IL2021-36756,YT_Urb_23-1203,
IL16LCSDH-06-T-2661-21,YT_Urb_23-1204,
IL16LCSDH-03-T-865-46,YT_Urb_23-1205,"beautiful , see down row"
IL2022-11818,YT_Urb_23-1206,
IL2022-16725,YT_Urb_23-1207,
IL16LCSDH-10-T-2665-41,YT_Urb_23-1208,
IL2022-15713,YT_Urb_23-1209,
IL2021-46166,YT_Urb_23-121,
2020-11841,YT_Urb_23-1210,
IL2021-43970,YT_Urb_23-1211,
IL16LCSDH-06-T-2661-202,YT_Urb_23-1212,
IL2021-18457,YT_Urb_23-1213,
IL16LCSDH-09-T-2664-27,YT_Urb_23-1214,
IL2021-29011,YT_Urb_23-1215,
IL2021-36748,YT_Urb_23-1216,
IL2021-1815,YT_Urb_23-1217,too tall
IL2022-15539,YT_Urb_23-1218,
IL2021-43963,YT_Urb_23-1219,
19-14933,YT_Urb_23-122,"tall, purple stem"
19-12926,YT_Urb_23-1220,
IL2022-13776,YT_Urb_23-1221,"bearded, thick"
IL16LCSDH-09-T-2664-18,YT_Urb_23-1222,
IL2021-17949,YT_Urb_23-1223,
IL2021-39253,YT_Urb_23-1224,
19-13451,YT_Urb_23-1225,
IL2021-17475,YT_Urb_23-1226,
IL2022-11908,YT_Urb_23-1227,
IL2022-21018,YT_Urb_23-1228,
2020-16022,YT_Urb_23-1229,
19-23855,YT_Urb_23-123,
IL2022-3523,YT_Urb_23-1230,
19-13414,YT_Urb_23-1231,
2020-2864,YT_Urb_23-1232,
IL2021-25411,YT_Urb_23-1233,
IL2021-43865,YT_Urb_23-1234,
IL2021-46033,YT_Urb_23-1235,
2020-7877,YT_Urb_23-1236,
19-25469,YT_Urb_23-1237,
IL2022-5643,YT_Urb_23-1238,
IL2022-5075,YT_Urb_23-1239,
IL2022-15630,YT_Urb_23-124,
IL2021-19404,YT_Urb_23-1240,
IL2022-9209,YT_Urb_23-1241,
IL2021-13712,YT_Urb_23-1242,
2020-6254,YT_Urb_23-1243,mixed
IL2022-3463,YT_Urb_23-1244,
IL2022-19528,YT_Urb_23-1245,
IL2021-35538,YT_Urb_23-1246,
IL2021-16728,YT_Urb_23-1247,
19-23855,YT_Urb_23-1248,
IL2022-17009,YT_Urb_23-1249,
IL2022-21774,YT_Urb_23-125,
IL2022-9272,YT_Urb_23-1250,
IL16LCSDH-04-T-2659-3,YT_Urb_23-1251,
IL2021-16330,YT_Urb_23-1252,
IL2022-6866,YT_Urb_23-1253,
IL2022-10450,YT_Urb_23-1254,
IL2021-17859,YT_Urb_23-1255,thick
IL2022-19216,YT_Urb_23-1256,
IL2021-44026,YT_Urb_23-1257,
IL2022-17063,YT_Urb_23-1258,
2020-7369,YT_Urb_23-1259,
IL16LCSDH-04-T-2659-232,YT_Urb_23-126,thick 
IL2022-4774,YT_Urb_23-1260,
IL2022-7736,YT_Urb_23-1261,
